Subject,Fluency_Item,Semantic_Similarity,Frequency_Value,Phonological_Similarity
8,snake,0.0001,6.615078485603011,0.0001
8,slither,0.6172723675182049,4.825218333788306,0.2
8,sun,0.18515874097043916,7.566833491878991,0.2
8,sunflower,0.4436044728274794,5.7485655439716,0.4286
8,seeds,0.5092194422016533,6.872924439961242,0.1429
8,sand,0.31904526512393905,7.111572392531399,0.25
8,sea,0.4604498227241842,7.6537056597714415,0.25
8,seashells,0.437615005498312,4.929643678809142,0.3333
8,shell,0.4651888371855809,6.9765998442734745,0.3333
8,silly,0.3369082608454792,6.539029026753216,0.25
8,sun,0.4065420933541388,7.566833491878991,0.25
8,sew,0.25260896429953283,5.998053915650754,0.3333
8,silver,0.17291148208545348,7.317253288919921,0.2
9,snake,0.0001,6.615078485603011,0.0001
9,surreptitious,0.2486668428084059,5.225722698684167,0.1111
9,sneaky,0.4920443670676622,5.214623997031937,0.1111
9,stab,0.31491295552786425,5.888101954476044,0.2
9,save,0.2661943436962002,7.350612827540583,0.25
9,swim,0.3497118876913443,6.439674940917408,0.25
9,secret,0.20229132942095052,7.291201872537313,0.1667
9,stealthy,0.4286267184263859,5.397934797106985,0.1667
9,sexy,0.3266527231221015,5.8878776864390545,0.5
9,slippery,0.35896077546852423,6.056839702277886,0.3333
9,silver,0.3014237385879658,7.317253288919921,0.3333
9,slime,0.2082382254044065,5.739721039142431,0.4
9,slit,0.27765003188615567,6.175361030762423,0.5
9,sand,0.29838759112890445,7.111572392531399,0.25
9,super,0.11420489189096927,6.62247276051273,0.25
9,state,0.3575040264785141,8.299491682994473,0.25
9,stand,0.321029883821466,7.524294021687259,0.4
9,sock,0.2780679969309917,5.611217575584204,0.2
9,sodding,0.2489208845392057,4.3307991908366485,0.3333
9,soak,0.33799464021895076,5.9301744514863515,0.1667
10,snake,0.0001,6.615078485603011,0.0001
10,school,0.24321864584952202,8.050459155669007,0.25
10,secret,0.3268459912962627,7.291201872537313,0.3333
10,snow,0.22448890107758146,7.1491371433873026,0.1667
10,sad,0.28209627714366814,6.969575993988795,0.3333
10,sleep,0.31753719971185523,7.365752430885306,0.25
10,sick,0.3538776070143057,7.130031909374745,0.25
10,shovel,0.1917539303345649,6.011844803965525,0.0001
10,slip,0.3159528590554468,6.771356457083843,0.0001
10,slide,0.5950538413227197,6.712599704384631,0.5
10,sand,0.2887137988845623,7.111572392531399,0.5
10,sever,0.23411955574992105,5.751430002797572,0.25
10,stove,0.33571973055247395,6.4606913159353345,0.25
1101,safire,0.0001,4.74345488650729,0.0001
1101,steak,0.22838229612121963,6.1208255516930565,0.2
1101,salamander,0.21095922717974336,5.4102709642521845,0.1111
1101,stars,0.23318534291841853,7.121989658465187,0.1111
1101,sky scraper,0.2681947789963358,3.1522883443830563,0.2222
1101,snail,0.20532867282156508,5.853805251565671,0.1111
1101,sunflower,0.24220802711788147,5.7485655439716,0.4286
1101,safire,0.19816219903869292,4.74345488650729,0.2857
1102,stark,0.0001,6.359550537218051,0.0001
1102,super,0.229416514008993,6.62247276051273,0.2
1102,star,0.4130640973498054,7.20842421006795,0.25
1102,smear,0.26261564912860524,5.8833950997627085,0.5
1102,stuck,0.24392318697197501,6.734527410334123,0.25
1102,smile,0.19943877342660743,7.213659178501003,0.25
1102,super,0.32908290796962514,6.62247276051273,0.25
1102,sling,0.07418792872638824,5.8213418728352115,0.25
1102,swing,0.40967988436579206,6.637430285139785,0.75
1102,scar,0.2192573217165268,6.2131770940487225,0.25
1102,slave,0.1338698256760923,7.108548280748998,0.25
1102,stop,0.20178504498769034,7.459844416428481,0.25
1102,sorry,0.40917627795182665,7.086708230011748,0.25
1103,sex,0.0001,7.375050542790142,0.0001
1103,single,0.320873034323081,7.779021666381591,0.1667
1103,separated,0.4917317846719216,7.077353186267772,0.25
1103,simple,0.384255387986826,7.664841827231401,0.25
1103,segregate,0.3198358299486035,5.395289690576387,0.25
1103,sample,0.22536673051838174,7.3560712357258575,0.25
1103,singular,0.1630243554575619,6.7871728806195595,0.375
1103,sextuplet,0.2477964583769965,3.3939260065858368,0.2
1103,seahorse,0.10169696883412271,4.578925589458768,0.1
1103,salamander,0.44600491774222384,5.4102709642521845,0.1111
1103,sensual,0.19276232804503135,6.121736414812584,0.1111
1103,sensation,0.4642858623222388,6.752206840335126,0.375
1103,some,0.14014359974854096,8.636168966004211,0.125
1104,steer,0.0001,6.135401417160933,0.0001
1104,same,0.1471124517319795,8.357035962133493,0.25
1104,sorry,0.14127261057329354,7.086708230011748,0.25
1104,single,0.18217913517200868,7.779021666381591,0.1667
1104,step,0.27868557342641365,7.565751743996315,0.1667
1104,stood,0.27469064688186784,7.5573669177728355,0.5
1104,stair,0.23942384881997436,5.9864416345855185,0.5
1104,sting,0.23964017743215815,6.1126391807738,0.5
1104,spring,0.12426143080969843,7.444974720772517,0.6
1104,sling,0.23592433595649542,5.8213418728352115,0.6
1104,strong,0.16135786273166464,7.7112797343522415,0.4
1104,seemingly,0.4109136033747578,6.640514430172067,0.2857
1104,simple,0.45232419253634126,7.664841827231401,0.4286
1104,story,0.3426977269107845,7.74927294207649,0.1667
1104,sky,0.21185140951710346,7.192686463821908,0.2
1104,sarcoma,0.15075744994583617,5.945227243374065,0.2857
1104,singular,0.14215328580929332,6.7871728806195595,0.25
1104,sample,0.1630243554575619,7.3560712357258575,0.375
1104,syringe,0.21885256178663637,5.9572964182533505,0.1667
1104,sure,0.03194081960215778,7.727661687918584,0.0001
1104,shark,0.11843479818583258,6.054603863042017,0.5
1104,shamble,0.2698437297631753,4.1933472563864616,0.1667
1104,shore,0.40794993173225,7.066002078186068,0.1667
1104,slut,0.20864923641339206,5.3229321930907485,0.0001
1105,sorry,0.0001,7.086708230011748,0.0001
1105,some,0.218262155668974,8.636168966004211,0.25
1105,something,0.6253876899107281,7.975322067501927,0.5
1105,sip,0.07005241585166044,6.073319422543372,0.1667
1105,sir,0.1796877469400715,7.646135056998114,0.3333
1105,sat,0.25839018066180275,7.48054575210492,0.3333
1105,sunday,0.4140647565467024,7.141592612410585,0.2
1105,see,0.2816371027667126,8.548471884483492,0.2
1105,send,0.3676587131286915,7.346595016382697,0.25
1105,sense,0.1597346862466995,7.847370171494475,0.75
